Details,Accession,Release_Date,Species,Genus,Family,Length,Nuc._Completeness,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
,KP209311,2014-12-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,United Arab Emirates,Homo sapiens,"lung, oronasopharynx",2014-04-17,,"Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_33_2014, complete genome"
,MF374984,2017-10-28T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,USA,Homo sapiens,oronasopharynx,2017-01-03,,"Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_00204/2017, complete genome"
,KX154684,2017-04-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11739/2016, complete genome"
,KX154689,2017-04-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-01,,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-10208/2016, complete genome"
,KT861627,2016-10-02T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30089,complete,,Jordan,Homo sapiens,"lung, oronasopharynx",2014-01-22,,"Middle East respiratory syndrome coronavirus isolate Hu/Jordan-20140010168/2014, complete genome"
,MG011352,2017-10-03T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-07-20,,"Middle East respiratory syndrome-related coronavirus isolate Hu/Qasim-KSA-893/2016, complete genome"
,MG011355,2017-10-03T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-07-01,,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-21155/2016, complete genome"
,KF186564,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30081,complete,,Saudi Arabia,Homo sapiens,,2013-05-01,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_4_2013, complete genome"
,KX538966,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,Malaysia,Homo sapiens,oronasopharynx,2012-04-02,,"Human coronavirus OC43 isolate MY-U236/12, complete genome"
,KX538971,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30716,complete,,Malaysia,Homo sapiens,oronasopharynx,2012-06-25,,"Human coronavirus OC43 isolate MY-U732/12, complete genome"
,KX538974,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30716,complete,,Malaysia,Homo sapiens,oronasopharynx,2012-08-01,,"Human coronavirus OC43 isolate MY-U945/12, complete genome"
,KX538977,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30716,complete,,Malaysia,Homo sapiens,oronasopharynx,2012-09-10,,"Human coronavirus OC43 isolate MY-U1140/12, complete genome"
,FJ647219,2009-03-25T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31427,complete,,USA,Mus musculus,,,,"Murine coronavirus RJHM/A, complete genome"
,FJ647223,2009-03-25T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31386,complete,,USA,Mus musculus,,,,"Murine coronavirus MHV-1, complete genome"
,FJ647224,2009-03-25T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31448,complete,,USA,Mus musculus,,,,"Murine coronavirus MHV-3, complete genome"
,FJ425189,2008-12-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30997,complete,,USA,Rusa unicolor,,1994-01-01,,"Sambar deer coronavirus US/OH-WD388/1994, complete genome"
,FJ425188,2008-12-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30995,complete,,USA,Rusa unicolor,,1994-01-01,,"Sambar deer coronavirus US/OH-WD388-TC/1994, complete genome"
,FJ425190,2008-12-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30987,complete,,USA,Rusa unicolor,,1994-01-01,,"Sambar deer coronavirus US/OH-WD388-TC/1994 calf-passaged, complete genome"
,AY391777,2003-10-22T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30738,complete,,,,,,,"Human coronavirus OC43, complete genome"
,AY585229,2004-08-04T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30744,complete,OC43-Paris,France,,oronasopharynx,,,"Human coronavirus OC43 serotype OC43-Paris, complete genome"
,AY515512,2005-01-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29731,complete,,China,Paguma larvata,,,,"SARS coronavirus HC/SZ/61/03, complete genome"
,AY394986,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29729,complete,,,,,,,"SARS coronavirus HSZ-Cb, complete genome"
,AY394998,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29736,complete,,,,,,,"SARS coronavirus LC1, complete genome"
,AY395001,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29350,complete,,,,,,,"SARS coronavirus LC4, complete genome"
,AY502923,2004-01-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29729,complete,,Taiwan,,,,,"SARS coronavirus TW10, complete genome"
,AY394997,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29683,complete,,,,,,,"SARS coronavirus ZS-A, complete genome"
,AY463059,2004-01-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29592,complete,,,,,,,"SARS coronavirus ShanghaiQXC1, complete genome"
,AY394987,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29709,complete,,,,,,,"SARS coronavirus HZS2-Fb, complete genome"
,DQ412042,2006-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29709,complete,,,Rhinolophus ferrumequinum,,,,"Bat SARS coronavirus Rf1, complete genome"
,AY304486,2003-09-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29741,complete,,Hong Kong,,,,,"SARS coronavirus SZ3, complete genome"
,AY427439,2003-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29711,complete,,,,oronasopharynx,,,"SARS coronavirus AS, complete genome"
,AY283795,2003-05-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29705,complete,,Singapore,,,,,"SARS coronavirus Sin2677, complete genome"
,AY362699,2003-08-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,,,,,,"SARS coronavirus TWC3, complete genome"
,AY351680,2003-08-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29749,complete,,,,,,,"SARS coronavirus ZMY 1, complete genome"
,KT121580,2015-11-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29799,complete,,Saudi Arabia,Homo sapiens,,2014-04-28,,"Middle East respiratory syndrome coronavirus isolate KFMC-1, complete genome"
,MG197718,2018-09-16T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30538,complete,,China,,oronasopharynx,2015-03-12,,"Human coronavirus OC43 strain YC-55, complete genome"
,MG197716,2018-09-16T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30515,complete,,China,,oronasopharynx,2015-06-06,,"Human coronavirus OC43 strain WZ-303, complete genome"
,AY395000,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29350,complete,,,,,,,"SARS coronavirus LC3, complete genome"
,AY545914,2005-03-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29723,complete,,China,,,,,"SARS coronavirus isolate HC/SZ/79/03, complete genome"
,JF792616,2012-04-30T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31286,complete,,,Rattus,,,,"Rat coronavirus isolate 681, complete genome"
,MG923480,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29462,complete,,Nigeria,Camelus dromedarius,,2016-02-07,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1787/2016, complete genome"
,MF598703,2017-11-15T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,United Arab Emirates,Camelus dromedarius,oronasopharynx,2015-04,,"Middle East respiratory syndrome-related coronavirus strain camel/UAE_414480_W3_2015, complete genome"
,KT225476,2015-07-07T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29809,complete,,Thailand,Homo sapiens,"lung, oronasopharynx",2015-06-17,,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/THA/CU/17_06_2015, complete genome"
,JQ316196,2012-03-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,United Kingdom,,,2003-04-16,,"SARS coronavirus HKU-39849 isolate UOB, complete genome"
,AY321118,2003-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29725,complete,,,,,,,"SARS coronavirus TWC, complete genome"
,AY282752,2003-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29736,complete,,,,,,,"SARS coronavirus CUHK-Su10, complete genome"
,KY673149,2017-12-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,Oman,Camelus,oronasopharynx,2015-01,,"Middle East respiratory syndrome-related coronavirus strain Camel/Oman_1_2015, complete genome"
,MF598714,2017-11-15T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,United Arab Emirates,Camelus dromedarius,oronasopharynx,2015-04,,"Middle East respiratory syndrome-related coronavirus strain camel/UAE_414500_W4_2015, complete genome"
,JX162087,2012-06-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29688,complete,,USA,,,2009-01-01,,"SARS coronavirus ExoN1 isolate c5P10, complete genome"
,FJ938065,2009-07-11T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30969,complete,,USA,Bos taurus,,2000-01-01,,"Bovine respiratory coronavirus AH187, complete genome"
,GU553363,2010-02-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29644,complete,,China,Homo sapiens,,2003-06-07,,"SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001, complete genome"
,FJ882955,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-03-28,,"SARS coronavirus ExoN1 isolate P3pp19, complete genome"
,DQ898174,2007-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29751,complete,,Canada,,,,,"SARS coronavirus strain CV7, complete genome"
,FJ938068,2009-07-11T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31250,complete,,,Rattus,,,,"Rat coronavirus Parker, complete genome"
,FJ938064,2009-07-11T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30995,complete,,USA,Bos taurus,,2000-01-01,,"Bovine coronavirus E-AH187-TC, complete genome"
,KT368856,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30117,complete,,Saudi Arabia,Camelus,,2014-09,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S94/2014, complete genome"
,KT368854,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Camelus,,2014-09,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S73/2014, complete genome"
,KT368847,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30110,complete,,Saudi Arabia,Camelus,,2014-11,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N62(b)/2014, complete genome"
,KT368853,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30108,complete,,Saudi Arabia,Camelus,,2014-09,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S100/2014, complete genome"
,KT368841,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30110,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D49/2014, complete genome"
,KT368843,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D88/2014, complete genome"
,EF065510,2007-02-07T00:00:00Z,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,30488,complete,,China,Chiroptera,,,,"Bat coronavirus HKU5-2, complete genome"
,EF065506,2007-02-07T00:00:00Z,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,30286,complete,,China,Chiroptera,,,,"Bat coronavirus HKU4-2, complete genome"
,FJ882947,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29616,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp7, complete genome"
,FJ882944,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29628,complete,,USA,,,2008-03-28,,"SARS coronavirus ExoN1 isolate P3pp23, complete genome"
,KY352407,2018-12-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29274,complete,,Kenya,Rhinolophus,feces,2007-08,,"Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome"
,MN908947,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,complete,,China,Homo sapiens,,2019-12,,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
,MH810163,2019-01-13T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31032,complete,,China,Bos grunniens,,2017,,"Yak coronavirus strain YAK/HY24/CH/2017, complete genome"
,KT368845,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30116,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D92/2014, complete genome"
,KT368838,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D46(b)/2014, complete genome"
,KT368849,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30117,complete,,Saudi Arabia,Camelus,,2014-10,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O23(b)/2014, complete genome"
,KT368846,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30115,complete,,Saudi Arabia,Camelus,,2014-11,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N51/2014, complete genome"
,KT368851,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30119,complete,,Saudi Arabia,Camelus,,2014-10,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O30/2014, complete genome"
,KT368833,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D38(b)/2014, complete genome"
,KT368825,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30119,complete,,Saudi Arabia,Camelus,,2014-07,,"Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry23N/2014, complete genome"
,KT368831,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Camelus,,2014-12,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D35/2014, complete genome"
,KT368857,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30119,complete,,Saudi Arabia,Camelus,,2014-09,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S99/2014, complete genome"
,KT368865,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30109,complete,,Saudi Arabia,Camelus,,2015-01,,"Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd90/2015, complete genome"
,KT368869,2015-12-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30111,complete,,Saudi Arabia,Camelus,,2015-03,,"Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry137/2015, complete genome"
,AY595412,2004-06-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29716,complete,,,,,,,"SARS coronavirus LLJ-2004, complete genome"
,KF923908,2015-08-31T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,China,Homo sapiens,oronasopharynx,2007-06,,"Human coronavirus OC43 isolate 5414/2007, complete genome"
,EF065509,2007-02-07T00:00:00Z,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,30482,complete,,China,Chiroptera,,,,"Bat coronavirus HKU5-1, complete genome"
,EF065507,2007-02-07T00:00:00Z,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,30286,complete,,China,Chiroptera,,,,"Bat coronavirus HKU4-3, complete genome"
,NC_038294,2018-08-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30111,"refseq, complete",,United Kingdom,Homo sapiens,,2012-09-11,,"Betacoronavirus England 1, complete genome"
,MK062184,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29874,complete,,USA,Homo sapiens,,2017-06-01,,"SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome"
,MK062183,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29874,complete,,USA,Homo sapiens,,2017-05-31,,"SARS coronavirus Urbani isolate icSARS-C7, complete genome"
,KX432213,2017-03-04T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30868,complete,,China,Canis lupus familiaris,,2014,,"Canine respiratory coronavirus strain BJ232, complete genome"
,KY554973,2017-04-09T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,USA,Homo sapiens,,2016,,"Human coronavirus OC43 strain N07-1689B_116X, complete genome"
,MK062182,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,USA,Homo sapiens,,2017-05-30,,"SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome"
,MT066175,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29870,complete,,Taiwan,Homo sapiens,,2020-01-31,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NTU01/2020/TWN, complete genome"
,MT044257,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,USA,Homo sapiens,"lung, oronasopharynx",2020-01-28,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL2/2020, complete genome"
,KJ650297,2014-04-22T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30105,complete,,Saudi Arabia,Camelus dromedarius,,2013-11-30,,"Middle East respiratory syndrome coronavirus isolate KFU-HKU 1, complete genome"
,KX538975,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30716,complete,,Malaysia,Homo sapiens,oronasopharynx,2012-08-24,,"Human coronavirus OC43 isolate MY-U1024/12, complete genome"
,KX538978,2017-02-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,Malaysia,Homo sapiens,oronasopharynx,2013-01-02,,"Human coronavirus OC43 isolate MY-U1758/13, complete genome"
,HM211098,2010-08-30T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29136,complete,,China,Chiroptera,,2005-12-11,,"Bat coronavirus HKU9-5-1, complete genome"
,HM034837,2010-09-15T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29862,complete,,France,Homo sapiens,oronasopharynx,2005-03-04,,"Human coronavirus HKU1 isolate Caen1, complete genome"
,FJ882933,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29648,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp6, complete genome"
,FJ882956,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29644,complete,,USA,,,2008-08-06,,"SARS coronavirus ExoN1 isolate P3pp53, complete genome"
,FJ882934,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29647,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp29, complete genome"
,FJ882932,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp14, complete genome"
,FJ882928,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2007-08-28,,"SARS coronavirus ExoN1 isolate P1pp1, complete genome"
,AF391542,2002-01-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31028,complete,,,,,,,"Bovine coronavirus isolate BCoV-LUN, complete genome"
,AY283794,2003-05-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29711,complete,,Singapore,,,,,"SARS coronavirus Sin2500, complete genome"
,AY283796,2003-05-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29711,complete,,Singapore,,,,,"SARS coronavirus Sin2679, complete genome"
,GU553364,2010-02-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29644,complete,,China,Homo sapiens,,2003-06-07,,"SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00002, complete genome"
,FJ882952,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-25,,"SARS coronavirus MA15 isolate P3pp4, complete genome"
,AY279354,2003-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29732,complete,,,,,,,"SARS coronavirus BJ04, complete genome"
,AY278488,2003-04-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29725,complete,,,,,,,"SARS coronavirus BJ01, complete genome"
,AY278489,2003-04-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29757,complete,,,,,,,"SARS coronavirus GD01, complete genome"
,KP209308,2014-12-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,United Arab Emirates,Homo sapiens,"lung, oronasopharynx",2014-04-10,,"Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_16_2014, complete genome"
,FJ882957,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-25,,"SARS coronavirus MA15, complete genome"
,KX034100,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,South Korea,Homo sapiens,lung,2015-07-03,,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/177-3-2015, complete genome"
,MT066176,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29870,complete,,Taiwan,Homo sapiens,,2020-02-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NTU02/2020/TWN, complete genome"
,JF292913,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,Mus musculus,,2008-10-10,,"SARS coronavirus MA15 isolate d4ym3, complete genome"
,JF292910,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,Mus musculus,,2008-08-10,,"SARS coronavirus MA15 isolate d2ym5, complete genome"
,KP198610,2015-01-12T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30752,complete,,China,Homo sapiens,oronasopharynx,2010-06,,"Human coronavirus OC43 strain 2058A/10, complete genome"
,MT044258,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29858,complete,,USA,Homo sapiens,oronasopharynx,2020-01-27,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA6/2020, complete genome"
,MT049951,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,complete,,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Yunnan-01/human/2020/CHN, complete genome"
,MK303620,2019-03-30T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30665,complete,,,,,,SAMN10485236,"Human coronavirus OC43 isolate MDS2, complete genome"
,MK462256,2019-03-02T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Homo sapiens,oronasopharynx,2018-09-15,,"Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-18014506/2018, complete genome"
,AY545916,2005-03-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29721,complete,,China,,,,,"SARS coronavirus isolate HC/SZ/266/03, complete genome"
,AY545918,2005-03-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29737,complete,,China,,,,,"SARS coronavirus isolate HC/GZ/32/03, complete genome"
